count,speed,distance,calorie,day_time,
3442,1.1861702,2369.16,108.899994,1688256000000,
10036,1.2554133,6880.21,314.62994,1688169600000,
3442,1.1861702,2369.16,108.899994,1688256000000,
5737,1.2536576,3974.93,176.48999,1688342400000,
5737,1.2536576,3974.93,176.48999,1688342400000,
5584,1.2203597,3820.34,174.98,1688428800000,
5584,1.2203597,3820.34,174.98,1688428800000,
3910,1.27568,2709.38,120.45999,1688515200000,
3910,1.27568,2709.38,120.45999,1688515200000,
6336,1.2378806,4371.9697,195.04,1688601600000,
6336,1.2378806,4371.9697,195.04,1688601600000,
4161,1.2240955,2868.4502,129.93997,1688688000000,
4161,1.2240955,2868.4502,129.93997,1688688000000,
1885,1.1966423,1276.15,59.01,1688774400000,
1885,1.1966423,1276.15,59.01,1688774400000,
2697,1.1702219,1835.08,85.21999,1688860800000,
2697,1.1702219,1835.08,85.21999,1688860800000,
7995,1.2455175,5536.9697,247.16998,1688947200000,
7995,1.2455175,5536.9697,247.16998,1688947200000,
6405,1.3198632,4645.5903,217.50998,1689033600000,
6405,1.3198632,4645.5903,217.50998,1689033600000,
8671,1.1943219,5931.49,272.94998,1689120000000,
8671,1.1943219,5931.49,272.94998,1689120000000,
4682,1.2347335,3241.72,148.59,1689206400000,
4682,1.2347335,3241.72,148.59,1689206400000,
6439,1.2493241,4396,205.39998,1689292800000,
6439,1.2493241,4396,205.39998,1689292800000,
5521,1.239326,3846.5103,171.74998,1689379200000,
5521,1.239326,3846.5103,171.74998,1689379200000,
3013,1.2645571,2117.7097,97.12998,1689465600000,
3013,1.2645571,2117.7097,97.12998,1689465600000,
6233,1.2502731,4346,195.02997,1689552000000,
6233,1.2502731,4346,195.02997,1689552000000,
1637,1.2230647,1139.19,50.6,1689638400000,
1637,1.2230647,1139.19,50.6,1689638400000,
9212,1.2350265,6408.42,284.56,1689724800000,
9212,1.2350265,6408.42,284.56,1689724800000,
6914,1.236988,4776.55,218.57999,1689811200000,
6914,1.236988,4776.55,218.57999,1689811200000,
11169,1.2026352,7743.31,347.20996,1689897600000,
8328,1.3023552,5975.91,276.46,1689984000000,
8328,1.3023552,5975.91,276.46,1689984000000,
11169,1.2026352,7743.31,347.20996,1689897600000,
12264,1.1775806,8239.21,398.75,1690070400000,
12264,1.1775806,8239.21,398.75,1690070400000,
9178,1.2303168,6347.37,285.36996,1690156800000,
9178,1.2303168,6347.37,285.36996,1690156800000,
9908,1.3197957,6906.67,308.68997,1690243200000,
7935,1.2894349,5520.86,251.83998,1690329600000,
7935,1.2894349,5520.86,251.83998,1690329600000,
9908,1.3197957,6906.67,308.68997,1690243200000,
8440,1.3168678,5945.11,272.16998,1690416000000,
8440,1.3168678,5945.11,272.16998,1690416000000,
8967,1.2355986,6157.15,280.87997,1690502400000,
8967,1.2355986,6157.15,280.87997,1690502400000,
4478,1.2290584,3106.34,142.25,1690588800000,
4478,1.2290584,3106.34,142.25,1690588800000,
7822,1.2497638,5409.32,246.19998,1690675200000,
7822,1.2497638,5409.32,246.19998,1690675200000,
2798,1.184798,1923.23,87.63999,1690761600000,
2798,1.184798,1923.23,87.63999,1690761600000,
4218,1.0886042,2831.99,130.54,1690848000000,
4218,1.0886042,2831.99,130.54,1690848000000,
4902,1.2244965,3394.95,150.49998,1690934400000,
4902,1.2244965,3394.95,150.49998,1690934400000,
3165,1.205067,2175.05,97.369995,1691020800000,
3165,1.205067,2175.05,97.369995,1691020800000,
6639,1.236896,4620.17,207.93999,1691107200000,
6639,1.236896,4620.17,207.93999,1691107200000,
6493,1.2085931,4422.34,207.43,1691193600000,
6493,1.2085931,4422.34,207.43,1691193600000,
5355,1.1112142,3584.59,169.72,1691280000000,
5355,1.1112142,3584.59,169.72,1691280000000,
5874,1.2337126,4043.4,180.72998,1691366400000,
5874,1.2337126,4043.4,180.72998,1691366400000,
7957,1.2585702,5600.3003,256.69,1691452800000,
6675,1.2508687,4674.52,214.74998,1691452800000,
3082,1.2701242,2148.8594,103.899994,1691452800000,
13208,1.2165428,9151.4375,410.20987,1691539200000,
4784,1.1958619,3291.01,147.76999,1691625600000,
10469,1.1488094,7196.76,320.94998,1691539200000,
6905,1.2358606,4799.821,219.65971,1691625600000,
10604,1.2669705,7388.706,330.98984,1691539200000,
5854,1.28259,4099.563,187.54964,1691625600000,
4805,1.2597725,3341.3586,151.63054,1691712000000,
3433,1.1604004,2339.14,106.66999,1691712000000,
4236,1.2838762,2961.3281,134.41072,1691712000000,
3510,1.2334642,2423.4182,115.140495,1691798400000,
2322,1.2511369,1603.02,74.75,1691798400000,
2445,1.1979387,1679.3694,81.05062,1691798400000,
2956,1.3325982,2113.4646,99.85326,1691884800000,
1270,1.3269436,913.70996,42.539997,1691884800000,
2291,1.3089865,1610.2517,77.33362,1691884800000,
8628,1.2330577,5980.3486,274.74078,1691971200000,
6042,1.1852155,4149.73,187.77998,1691971200000,
6886,1.2735597,4804.495,221.3908,1691971200000,
6524,1.1940695,4513.971,199.18007,1692057600000,
6183,1.1665081,4263.35,187.65,1692057600000,
4018,1.2702044,2792.954,125.320244,1692057600000,
7410,1.2438079,5152.719,230.11998,1692144000000,
6094,1.2306331,4235.06,185.98999,1692144000000,
5797,1.2652715,4039.069,180.77997,1692144000000,
4463,1.2128558,3085.2927,141.80992,1692230400000,
3497,1.1577139,2386.6401,109.53999,1692230400000,
3533,1.2610292,2461.1736,111.389915,1692230400000,
10726,1.3022547,7474.4,339.09995,1692316800000,
6317,1.252001,4305.73,194.53998,1692316800000,
9695,1.3131558,6815.9126,307.10995,1692316800000,
3979,1.2640802,2780.8591,126.31067,1692403200000,
2715,1.2612493,1880.59,82.869995,1692403200000,
2883,1.304841,2028.9087,92.75079,1692403200000,
3826,1.2624875,2601.8298,124.83033,1692489600000,
3502,1.2726368,2383.26,114.09,1692489600000,
1793,1.2449192,1245.2535,56.181324,1692489600000,
7026,1.2752923,4863.5474,221.9213,1692576000000,
5082,1.2707717,3507.3198,158.59999,1692576000000,
6106,1.2830415,4268.568,194.20227,1692576000000,
2326,1.2714046,1624.2937,72.86027,1692662400000,
1397,1.2533994,977.61017,43.38999,1692662400000,
1527,1.3251036,1075.0259,48.80046,1692662400000,
5473,1.2528565,3795.18,169.45016,1692748800000,
4561,1.2458439,3160.33,139.15,1692748800000,
2877,1.2502419,1998.9781,90.89025,1692748800000,
7223,1.2961494,5146.882,225.64046,1692835200000,
6140,1.296686,4395.03,189.09999,1692835200000,
5322,1.2861615,3721.1353,166.93094,1692835200000,
4640,1.4077313,3493.6099,143.62,1692921600000,
4640,1.4077313,3493.6099,143.62,1692921600000,
6592,1.2865853,4794.664,203.30121,1693008000000,
5974,1.2944512,4403.59,183.51999,1693008000000,
3792,1.2660115,2642.3335,116.671196,1693008000000,
17913,1.404918,13306.911,552.06177,1693094400000,
16576,1.418572,12632.66,510.83997,1693094400000,
15716,1.3468847,11070.842,484.8145,1693094400000,
9810,1.3177352,6918.1304,300.63992,1693180800000,
7895,1.4257104,6055.4497,241.56999,1693180800000,
8920,1.2266135,5804.96,272.65988,1693180800000,
6424,1.3370187,4684.849,199.44998,1693267200000,
5727,1.3882297,4364.17,178.15,1693267200000,
4904,1.2070615,3163.898,151.08997,1693267200000,
12802,1.3604671,9346.145,400.3903,1693353600000,
11226,1.4208525,8614.239,342.61996,1693353600000,
11292,1.2210582,7303.042,352.0116,1693353600000,
13592,1.3484052,9866.028,416.70032,1693440000000,
12662,1.408102,9667.96,388.47995,1693440000000,
11595,1.2228291,7459.9517,353.4915,1693440000000,
13667,1.2884976,9755.327,426.77798,1693526400000,
9032,1.372866,6574.5576,279.53992,1693612800000,
8656,1.4414209,6647.8,267.54996,1693612800000,
11692,1.3472074,8861,359.72998,1693526400000,
8151,1.1909245,5197.594,257.1809,1693526400000,
6831,1.2154835,4275.9478,206.6899,1693612800000,
6856,1.3233229,4941.89,210.19997,1693699200000,
5028,1.3877857,3837.15,154.26,1693699200000,
2709,1.132352,1683.579,83.45997,1693699200000,
11367,1.262893,8221.85,347.37994,1693785600000,
11367,1.262893,8221.85,347.37994,1693785600000,
16323,1.3395478,11683.669,496.41006,1693872000000,
14551,1.4152437,11102.99,441.65997,1693872000000,
14543,1.1793896,9103.767,443.53174,1693872000000,
8386,1.3125584,5959.5737,268.15082,1693958400000,
6769,1.3724928,5149.6606,211.69997,1693958400000,
5484,1.256044,3510.8435,174.42152,1693958400000,
12063,1.2700908,8217.219,368.26996,1694044800000,
11149,1.3010441,7849.33,337.23996,1694044800000,
9853,1.2130448,6260.909,313.3399,1694044800000,
11503,1.2482328,8004.02,350.67996,1694131200000,
11503,1.2482328,8004.02,350.67996,1694131200000,
9549,1.2598958,6476.711,290.6,1694217600000,
6828,1.2524443,5067.52,211.22,1694217600000,
8463,1.1854879,5296.028,256.74014,1694217600000,
2677,1.0574465,1926.58,84.42,1694304000000,
2677,1.0574465,1926.58,84.42,1694304000000,
6200,1.397434,4481.3496,190.18999,1694390400000,
5694,1.5052971,4414.96,174.39998,1694390400000,
5384,1.2370934,3410.7292,163.88998,1694390400000,
16487,1.3356532,11797.612,507.81985,1694476800000,
14802,1.4152596,11282.98,455.74997,1694476800000,
